Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.32156042462562173
75% Corpus,2,0.01,0.31,0.2872219255818773
75% Corpus,2,0.01,0.61,0.2550973262016949
75% Corpus,2,0.01,0.9099999999999999,0.30019268441074365
75% Corpus,2,0.01,symmetric,0.2594563091558091
75% Corpus,2,0.31,0.01,0.3446281136035495
75% Corpus,2,0.31,0.31,0.3484774930878406
75% Corpus,2,0.31,0.61,0.2831342060951301
75% Corpus,2,0.31,0.9099999999999999,0.2610930192438523
75% Corpus,2,0.31,symmetric,0.2799487575922792
75% Corpus,2,0.61,0.01,0.3283792245521294
75% Corpus,2,0.61,0.31,0.3007392625016296
75% Corpus,2,0.61,0.61,0.2690314588315664
75% Corpus,2,0.61,0.9099999999999999,0.32084278612791295
75% Corpus,2,0.61,symmetric,0.27172779023993454
75% Corpus,2,0.9099999999999999,0.01,0.32581970631624974
75% Corpus,2,0.9099999999999999,0.31,0.2451302585506857
75% Corpus,2,0.9099999999999999,0.61,0.2801968759062713
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.28618868663355834
75% Corpus,2,0.9099999999999999,symmetric,0.26409083258227534
75% Corpus,2,symmetric,0.01,0.3443440000915473
75% Corpus,2,symmetric,0.31,0.37503596252396176
75% Corpus,2,symmetric,0.61,0.2575185226116247
75% Corpus,2,symmetric,0.9099999999999999,0.30893067884557124
75% Corpus,2,symmetric,symmetric,0.25954811058133076
75% Corpus,2,asymmetric,0.01,0.30930675531003404
75% Corpus,2,asymmetric,0.31,0.2906913004724049
75% Corpus,2,asymmetric,0.61,0.30129769223907615
75% Corpus,2,asymmetric,0.9099999999999999,0.2948086957258018
75% Corpus,2,asymmetric,symmetric,0.30214745572729873
75% Corpus,3,0.01,0.01,0.3176877982708952
75% Corpus,3,0.01,0.31,0.27665698641031916
75% Corpus,3,0.01,0.61,0.2812713326661474
75% Corpus,3,0.01,0.9099999999999999,0.3004589565695161
75% Corpus,3,0.01,symmetric,0.2825914074392318
75% Corpus,3,0.31,0.01,0.3663613018797897
75% Corpus,3,0.31,0.31,0.36848768917068564
75% Corpus,3,0.31,0.61,0.3269441922702882
75% Corpus,3,0.31,0.9099999999999999,0.3384707335208843
75% Corpus,3,0.31,symmetric,0.3690897168429041
75% Corpus,3,0.61,0.01,0.35494071865880356
75% Corpus,3,0.61,0.31,0.3139369422961562
75% Corpus,3,0.61,0.61,0.31586931391441714
75% Corpus,3,0.61,0.9099999999999999,0.3141292097084221
75% Corpus,3,0.61,symmetric,0.30294469552765035
75% Corpus,3,0.9099999999999999,0.01,0.3495615545718212
75% Corpus,3,0.9099999999999999,0.31,0.2696609872401831
75% Corpus,3,0.9099999999999999,0.61,0.31164341492789155
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.3230979160029935
75% Corpus,3,0.9099999999999999,symmetric,0.27298299884003524
75% Corpus,3,symmetric,0.01,0.35229628313938544
75% Corpus,3,symmetric,0.31,0.38179604324291655
75% Corpus,3,symmetric,0.61,0.3630673585109545
75% Corpus,3,symmetric,0.9099999999999999,0.3128156209676611
75% Corpus,3,symmetric,symmetric,0.3829078857128645
75% Corpus,3,asymmetric,0.01,0.3330684214199906
75% Corpus,3,asymmetric,0.31,0.33859242048007393
75% Corpus,3,asymmetric,0.61,0.4141741937881766
75% Corpus,3,asymmetric,0.9099999999999999,0.40196554026380954
75% Corpus,3,asymmetric,symmetric,0.370463202787844
75% Corpus,4,0.01,0.01,0.3337944818499524
75% Corpus,4,0.01,0.31,0.29717415018929333
75% Corpus,4,0.01,0.61,0.3754170157631931
75% Corpus,4,0.01,0.9099999999999999,0.4462075169049494
75% Corpus,4,0.01,symmetric,0.2817405719492099
75% Corpus,4,0.31,0.01,0.3420578136397967
75% Corpus,4,0.31,0.31,0.31174403342087265
75% Corpus,4,0.31,0.61,0.32499636793992975
75% Corpus,4,0.31,0.9099999999999999,0.4210175607497244
75% Corpus,4,0.31,symmetric,0.34502623957423245
75% Corpus,4,0.61,0.01,0.3720443775221187
75% Corpus,4,0.61,0.31,0.3763158788569312
75% Corpus,4,0.61,0.61,0.37417338362989605
75% Corpus,4,0.61,0.9099999999999999,0.34566931174793464
75% Corpus,4,0.61,symmetric,0.363969287541325
75% Corpus,4,0.9099999999999999,0.01,0.3474156756753714
75% Corpus,4,0.9099999999999999,0.31,0.3063200123849118
75% Corpus,4,0.9099999999999999,0.61,0.35346308718888686
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.39836811024952656
75% Corpus,4,0.9099999999999999,symmetric,0.3089396834336601
75% Corpus,4,symmetric,0.01,0.31643883918802507
75% Corpus,4,symmetric,0.31,0.3449463881653102
75% Corpus,4,symmetric,0.61,0.33776178976793525
75% Corpus,4,symmetric,0.9099999999999999,0.3916645787393655
75% Corpus,4,symmetric,symmetric,0.3489035799386295
75% Corpus,4,asymmetric,0.01,0.31648389352649703
75% Corpus,4,asymmetric,0.31,0.3993011342065092
75% Corpus,4,asymmetric,0.61,0.46216610369157596
75% Corpus,4,asymmetric,0.9099999999999999,0.4040166936572128
75% Corpus,4,asymmetric,symmetric,0.3532434726492525
75% Corpus,5,0.01,0.01,0.3155224480228388
75% Corpus,5,0.01,0.31,0.3065874955549174
75% Corpus,5,0.01,0.61,0.3345495760324605
75% Corpus,5,0.01,0.9099999999999999,0.39487302363055293
75% Corpus,5,0.01,symmetric,0.28576956754739424
75% Corpus,5,0.31,0.01,0.3383851981686028
75% Corpus,5,0.31,0.31,0.36380619542798714
75% Corpus,5,0.31,0.61,0.3405214050095804
75% Corpus,5,0.31,0.9099999999999999,0.3665748065354146
75% Corpus,5,0.31,symmetric,0.37282699083998294
75% Corpus,5,0.61,0.01,0.35882781627534455
75% Corpus,5,0.61,0.31,0.3255389702604522
75% Corpus,5,0.61,0.61,0.3395031715381213
75% Corpus,5,0.61,0.9099999999999999,0.4413264045565682
75% Corpus,5,0.61,symmetric,0.365572283935491
75% Corpus,5,0.9099999999999999,0.01,0.3533346257801083
75% Corpus,5,0.9099999999999999,0.31,0.34891154608487485
75% Corpus,5,0.9099999999999999,0.61,0.36023318682352473
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.3868334292316938
75% Corpus,5,0.9099999999999999,symmetric,0.3403302989411193
75% Corpus,5,symmetric,0.01,0.35964097723999155
75% Corpus,5,symmetric,0.31,0.34108469244083073
75% Corpus,5,symmetric,0.61,0.3583981014667457
75% Corpus,5,symmetric,0.9099999999999999,0.3643111405408665
75% Corpus,5,symmetric,symmetric,0.34451537399093246
75% Corpus,5,asymmetric,0.01,0.3587750122107168
75% Corpus,5,asymmetric,0.31,0.39292313449422095
75% Corpus,5,asymmetric,0.61,0.5288226515826324
75% Corpus,5,asymmetric,0.9099999999999999,0.5320723475694142
75% Corpus,5,asymmetric,symmetric,0.34723810184346726
75% Corpus,6,0.01,0.01,0.3461633362053267
75% Corpus,6,0.01,0.31,0.3148623586602823
75% Corpus,6,0.01,0.61,0.3720718848585389
75% Corpus,6,0.01,0.9099999999999999,0.43389134996683354
75% Corpus,6,0.01,symmetric,0.3546095584749747
75% Corpus,6,0.31,0.01,0.32642950513499835
75% Corpus,6,0.31,0.31,0.3430665025884434
75% Corpus,6,0.31,0.61,0.4021605561608342
75% Corpus,6,0.31,0.9099999999999999,0.42905455087449346
75% Corpus,6,0.31,symmetric,0.3597291620633829
75% Corpus,6,0.61,0.01,0.3896054646403037
75% Corpus,6,0.61,0.31,0.3189874609353081
75% Corpus,6,0.61,0.61,0.366304345727582
75% Corpus,6,0.61,0.9099999999999999,0.40165885733993895
75% Corpus,6,0.61,symmetric,0.32482389181450877
75% Corpus,6,0.9099999999999999,0.01,0.40079876597156966
75% Corpus,6,0.9099999999999999,0.31,0.3540969856349991
75% Corpus,6,0.9099999999999999,0.61,0.37630702775900965
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.3516825014193599
75% Corpus,6,0.9099999999999999,symmetric,0.3555205103207493
75% Corpus,6,symmetric,0.01,0.3713376082388142
75% Corpus,6,symmetric,0.31,0.3447582683242672
75% Corpus,6,symmetric,0.61,0.42660363518041794
75% Corpus,6,symmetric,0.9099999999999999,0.39653713505602245
75% Corpus,6,symmetric,symmetric,0.36273129051064573
75% Corpus,6,asymmetric,0.01,0.34043853726861534
